MouseID,BrainArea,Age,State,Tagging,Folder,Experiment,Protocol,Preprocessing,Sorting,Electrode,Notes
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_12-10-01,Baseline,0,NaN,A1x32,
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_12-32-57,Optotagging,0,NaN,A1x32,
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_12-42-28,VisualFlash,0,NaN,A1x32,
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_13-12-02,VisualFlash_Opto,0,NaN,A1x32,
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_13-39-54,Baseline_Opto,0,NaN,A1x32,
SC1,V1,8,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-03-29_14-21-43,Optotagging,0,NaN,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_12-31-02,Baseline,0,0,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_12-58-43,Optotagging,0,0,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_13-01-56,VisualFlash,0,0,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_13-35-43,VisualFlash_Opto,0,0,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_14-08-59,Optotagging,0,0,A1x32,
SC2,V1,14,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-04_14-11-43,Baseline_Opto,0,0,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_12-28-35,Baseline,0,NaN,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_12-52-56,Optotagging,0,NaN,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_12-57-10,VisualFlash,0,NaN,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_13-24-28,VisualFlash_Opto,0,NaN,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_13-53-26,Optotagging,0,NaN,A1x32,
SC3,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_13-56-32,Baseline_Opto,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_15-16-15,Baseline,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_15-36-04,Optotagging,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_15-38-49,VisualFlash,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_16-07-11,VisualFlash_Opto,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_16-40-57,Optotagging,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_16-43-39,Baseline_Opto,0,NaN,A1x32,
SC4,V1,18,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-04-30_17-02-11,VisualFlash_Opto,0,NaN,A1x32,
SC5,V1,10,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-05-01_11-35-07,Baseline,0,NaN,A1x32,
SC5,V1,10,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-05-01_11-55-11,Optotagging,0,NaN,A1x32,
SC5,V1,10,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-05-01_11-59-52,VisualFlash,0,NaN,A1x32,
SC5,V1,10,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-05-01_12-32-36,Optotagging,0,NaN,A1x32,
SC5,V1,10,Urethane,SST,G:\InVivo_SpikeSorting_V1,2019-05-01_12-37-48,VisualFlash_Opto,0,NaN,A1x32,
