MouseID,Age,Folder,Experiment,Protocol,Sorting,Electrode
NK3,13,E:\,2020-09-08_12-26-05,Baseline,NaN,OA1x32
NK3,13,E:\,2020-09-08_12-47-58,Optotagging,NaN,OA1x32
NK3,13,E:\,2020-09-08_12-52-55,Optotagging,NaN,OA1x32
NK3,13,E:\,2020-09-08_13-02-49,VisualFlash_Opto,NaN,OA1x32
NK3,13,E:\,2020-09-08_13-45-54,Optotagging,NaN,OA1x32
NK4,13,E:\,2020-09-08_15-19-49,Failed,0,OA1x32
NK4,13,E:\,2020-09-08_15-20-28,Baseline,0,OA1x32
NK4,13,E:\,2020-09-08_15-44-43,Optotagging,0,OA1x32
NK4,13,E:\,2020-09-08_16-02-21,VisualFlash_Opto,0,OA1x32
NK4,13,E:\,2020-09-08_17-01-58,Optotagging,0,OA1x32
NK5,14,E:\,2020-09-09_12-16-15,Baseline,0,OA1x32
NK5,14,E:\,2020-09-09_12-36-22,Optotagging,0,OA1x32
NK5,14,E:\,2020-09-09_12-40-35,Optotagging,0,OA1x32
NK5,14,E:\,2020-09-09_12-43-06,VisualFlash_Opto,0,OA1x32
NK5,14,E:\,2020-09-09_13-31-25,Optotagging,0,OA1x32
NK6,14,E:\,2020-09-09_14-25-59,Baseline,NaN,OA1x32
NK6,14,E:\,2020-09-09_14-46-26,Optotagging,NaN,OA1x32
NK6,14,E:\,2020-09-09_14-50-42,Optotagging,NaN,OA1x32
NK7,14,E:\,2020-09-09_15-37-38,Baseline,NaN,OA1x32
NK7,14,E:\,2020-09-09_15-58-11,Optotagging,NaN,OA1x32
NK7,14,E:\,2020-09-09_16-08-11,Optotagging_Ramp,NaN,OA1x32
NK7,14,E:\,2020-09-09_16-23-09,VisualFlash_Opto,NaN,OA1x32
NK7,14,E:\,2020-09-09_17-34-09,Optotagging,NaN,OA1x32
NK30,17,E:\,2020-10-29_15-28-56,Baseline,0,OA1x32
NK30,17,E:\,2020-10-29_16-17-38,Optotagging,0,OA1x32
NK30,17,E:\,2020-10-29_16-21-45,VisualFlash_Opto,0,OA1x32
NK30,17,E:\,2020-10-29_17-03-08,Optotagging,0,OA1x32
NK29,17,E:\,2020-10-29_14-05-31,Baseline,0,A1x32
NK29,17,E:\,2020-10-29_14-39-45,Failed,0,A1x32
NK29,17,E:\,2020-10-29_14-40-42,Optotagging,0,A1x32
NK29,17,E:\,2020-10-29_14-45-37,VisualFlash_Opto,0,A1x32
NK29,17,E:\,2020-10-29_15-28-01,Optotagging,0,A1x32
NK28,17,E:\,2020-10-29_12-19-43,Baseline,0,OA1x32
NK28,17,E:\,2020-10-29_12-52-44,Optotagging,0,OA1x32
NK28,17,E:\,2020-10-29_12-56-54,VisualFlash_Opto,0,OA1x32
NK28,17,E:\,2020-10-29_13-39-48,Optotagging,0,OA1x32
NK26,16,E:\,2020-10-28_16-44-06,Baseline,0,A1x32
NK26,16,E:\,2020-10-28_17-06-18,Optotagging,0,A1x32
NK26,16,E:\,2020-10-28_17-10-24,VisualFlash_Opto,0,A1x32
NK26,16,E:\,2020-10-28_17-54-10,Optotagging,0,A1x32
NK25,16,E:\,2020-10-28_15-47-08,Baseline,0,OA1x32
