RecID,MouseID,Age,Folder,Experiment,Protocol,Use,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_12-10-01,Baseline,5,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_12-32-57,Optotagging,3,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_12-42-28,VisualFlash,1,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_13-12-02,VisualFlash_Opto,2,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_13-39-54,Baseline_Opto,6,
1,SC1,8,D:\6.InVivo_V1_SST;Ai32\SC1,2019-03-29_14-21-43,Optotagging,4,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_12-31-02,Baseline,5,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_12-58-43,Optotagging,3,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_13-01-56,VisualFlash,1,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_13-35-43,VisualFlash_Opto,2,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_14-08-59,Optotagging,4,
2,SC2,14,D:\6.InVivo_V1_SST;Ai32\SC2,2019-04-04_14-11-43,Baseline_Opto,6,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_12-28-35,Baseline,5,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_12-52-56,Optotagging,3,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_12-57-10,VisualFlash,1,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_13-24-28,VisualFlash_Opto,2,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_13-53-26,Optotagging,4,
3,SC3,18,D:\6.InVivo_V1_SST;Ai32\SC3,2019-04-30_13-56-32,Baseline_Opto,6,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_15-16-15,Baseline,5,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_15-36-04,Optotagging,3,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_15-38-49,VisualFlash,1,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_16-07-11,VisualFlash_Opto,2,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_16-40-57,Optotagging,4,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_16-43-39,Baseline_Opto,6,
4,SC4,18,D:\6.InVivo_V1_SST;Ai32\SC4,2019-04-30_17-02-11,VisualFlash_Opto,7,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_11-35-07,Baseline,6,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_11-55-11,Optotagging,3,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_11-59-52,VisualFlash,1,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_12-32-36,Optotagging,4,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_12-37-48,VisualFlash_Opto,2,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_13-14-55,Optotagging,5,
5,SC5,10,D:\6.InVivo_V1_SST;Ai32\SC5,2019-05-01_13-17-34,Baseline_Opto,7,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_11-59-08,Baseline,5,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_12-19-52,Optotagging,3,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_12-26-37,VisualFlash,1,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_12-58-25,VisualFlash_Opto,2,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_13-50-04,Optotagging,4,
6,SC6,11,D:\6.InVivo_V1_SST;Ai32\SC6,2019-05-22_13-52-39,Baseline_Opto,6,
7,SC7,12,D:\6.InVivo_V1_SST;Ai32\SC7,2019-05-23_12-54-42,Baseline,0,2
7,SC7,12,D:\6.InVivo_V1_SST;Ai32\SC7,2019-05-23_13-26-46,ComplexSession,0,1
